,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,day_mon,day_sat,day_sun,day_thu,day_tue,day_wed,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep
15,6,5,4.546481189639412,141.2,713.9,2.7013612129514133,22.9,44,5.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,5,5,4.529368472571809,35.8,80.8,2.174751721484161,15.1,27,5.4,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,8,5,4.45318382899021,32.8,664.2,1.3862943611198906,16.7,47,4.9,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,6,4,4.502029427068578,27.9,70.8,1.9878743481543455,15.9,35,4.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19,6,4,4.469350462845557,27.4,97.1,1.8082887711792655,9.3,44,4.5,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,4,4.5217885770490405,129.5,692.6,2.0794415416798357,18.3,40,2.7,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21,5,4,4.530446639792155,78.5,724.3,2.322387720290225,19.1,38,2.7,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,7,4,4.557029810660157,96.3,200.0,4.044804116661965,21.0,44,4.5,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,7,4,4.513054897080286,110.9,537.4,1.9740810260220096,19.5,43,5.8,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,7,4,4.548599834499697,139.4,594.2,3.0587070727153796,23.7,32,5.8,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,7,4,4.526126978647638,142.4,601.4,2.451005098112319,16.3,60,5.4,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,7,4,4.536891345234797,117.9,668.0,2.580216829592325,19.0,34,5.8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,7,4,4.520701029361642,126.5,686.5,2.0794415416798357,19.4,48,1.3,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,6,3,4.547541073151455,145.4,721.4,2.2082744135228043,30.2,24,2.7,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,6,3,4.548599834499697,149.3,728.6,2.2082744135228043,22.8,39,3.6,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,6,3,4.557029810660157,85.1,692.3,2.8273136219290276,25.4,24,3.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,6,3,4.4953553199808844,91.8,709.9,2.0918640616783932,11.2,78,7.6,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,6,3,4.4953553199808844,69.7,706.8,1.916922612182061,20.6,37,1.8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,6,3,4.529368472571809,75.6,718.3,2.174751721484161,17.7,39,3.6,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,6,3,4.530446639792155,78.5,724.3,2.322387720290225,21.2,32,2.7,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,6,3,4.514150787600923,80.7,730.2,1.9878743481543455,18.2,62,4.5,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36,6,3,4.517431271680085,35.4,669.1,2.0412203288596382,21.7,24,4.5,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
37,7,4,4.51085950651685,41.5,682.6,2.272125885509337,11.3,60,5.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,7,3,4.517431271680085,43.7,686.9,2.0412203288596382,17.8,27,4.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,4,4,4.489759334476764,25.7,67.6,1.5686159179138452,14.1,43,2.7,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
40,4,4,4.388257184424518,60.6,366.7,0.9162907318741551,23.3,37,3.1,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41,4,4,4.513054897080286,96.9,624.2,2.2925347571405443,18.4,42,6.7,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,4,4,4.562262684976814,108.3,647.1,2.8903717578961645,16.6,54,5.4,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
43,4,4,4.537961436294641,88.0,698.6,2.0918640616783932,19.6,48,2.7,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,4,4,4.511957804265912,82.9,735.7,1.9740810260220096,12.9,74,4.9,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
45,5,6,4.557029810660157,85.1,692.3,2.8273136219290276,25.9,24,4.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
46,5,6,4.520701029361642,126.5,686.5,2.0794415416798357,14.7,70,3.6,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,6,6,4.55597994179732,62.3,442.9,2.4849066497880004,23.0,36,3.1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,4,4,4.4796069630127455,23.9,64.7,1.62924053973028,11.8,35,1.8,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,4,4,4.484131857611035,52.2,103.8,1.791759469228055,11.0,46,5.8,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,4,4,4.542230386214217,137.0,706.4,2.322387720290225,20.8,17,1.3,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
51,4,3,4.513054897080286,99.6,631.2,1.9878743481543455,21.5,34,2.2,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,4,3,4.533674184283021,111.2,654.1,2.3608540011180215,20.4,42,4.9,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53,4,3,4.533674184283021,111.2,654.1,2.3608540011180215,20.4,42,4.9,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
54,4,3,4.529368472571809,114.3,661.3,1.9878743481543455,17.6,45,3.6,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
55,4,3,4.542230386214217,137.0,706.4,2.322387720290225,27.7,24,2.2,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,4,3,4.514150787600923,80.7,730.2,1.9878743481543455,17.8,63,4.9,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
57,4,3,4.539030383483547,46.5,691.8,2.2823823856765264,13.8,50,2.7,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,2,2,4.442651256490317,9.3,34.0,1.1314021114911006,13.9,40,5.4,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,2,2,4.472780997942346,13.2,43.0,1.840549633397487,12.3,51,0.9,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,2,2,4.5031374604229395,51.3,102.2,2.3608540011180215,11.5,39,5.8,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,2,2,4.5031374604229395,51.3,102.2,2.3608540011180215,5.5,59,6.3,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,2,2,4.543294782270004,75.3,466.6,2.163323025660538,18.8,35,4.9,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
63,2,2,4.513054897080286,99.6,631.2,1.9878743481543455,20.8,33,2.7,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,2,2,4.522874943261261,103.2,638.8,1.916922612182061,23.1,31,3.1,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,2,2,4.529368472571809,114.3,661.3,1.9878743481543455,18.6,44,4.5,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
66,2,2,4.536891345234797,117.9,668.0,2.580216829592325,23.0,37,4.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,2,2,4.536891345234797,117.9,668.0,2.580216829592325,19.6,33,5.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,2,2,4.536891345234797,117.9,668.0,2.580216829592325,19.6,33,6.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,4,5,4.529368472571809,33.3,77.5,2.302585092994046,17.2,26,4.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,4,5,4.523960130562548,48.3,97.8,2.6026896854443837,15.8,27,7.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,4,5,4.557029810660157,85.1,692.3,2.8273136219290276,17.7,37,3.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,5,4,4.529368472571809,33.3,77.5,2.302585092994046,15.6,25,6.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,5,4,4.497584975308154,147.3,614.5,2.302585092994046,17.3,43,4.5,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
74,5,4,4.546481189639412,141.2,713.9,2.7013612129514133,27.6,30,1.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,9,9,4.44500143383527,6.8,26.6,2.163323025660538,6.7,79,3.1,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
76,9,9,4.472780997942346,13.2,43.0,1.840549633397487,15.7,43,3.1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,1,3,4.484131857611035,52.2,103.8,1.791759469228055,8.3,72,3.1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,1,2,4.511957804265912,108.0,529.8,2.6026896854443837,14.7,66,2.7,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,1,2,4.5217885770490405,121.2,561.6,2.0794415416798357,21.6,19,6.7,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
80,1,2,4.526126978647638,142.4,601.4,2.451005098112319,19.5,39,6.3,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,1,2,4.513054897080286,99.6,631.2,1.9878743481543455,17.9,44,2.2,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,1,2,4.562262684976814,108.3,647.1,2.8903717578961645,18.6,51,4.5,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
83,1,2,4.533674184283021,111.2,654.1,2.3608540011180215,16.6,47,0.9,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
84,1,2,4.529368472571809,114.3,661.3,1.9878743481543455,20.2,45,3.6,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
85,1,2,4.542230386214217,137.0,706.4,2.322387720290225,21.5,15,0.9,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1,2,4.542230386214217,137.0,706.4,2.322387720290225,25.4,27,2.2,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
87,1,2,4.542230386214217,137.0,706.4,2.322387720290225,22.4,34,2.2,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
88,1,2,4.548599834499697,149.3,728.6,2.2082744135228043,25.3,36,3.6,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,6,5,4.529368472571809,35.8,80.8,2.174751721484161,17.4,25,4.9,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,6,5,4.513054897080286,96.9,624.2,2.2925347571405443,14.7,59,5.8,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,8,6,4.529368472571809,35.8,80.8,2.174751721484161,17.4,24,5.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,8,6,4.535820107853298,85.3,488.0,2.7536607123542622,20.8,32,6.3,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,8,6,4.526126978647638,142.4,601.4,2.451005098112319,18.2,43,4.9,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,8,6,4.522874943261261,103.2,638.8,1.916922612182061,23.4,22,2.7,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,4,4,4.507557357121091,90.0,704.4,1.7578579175523736,17.8,64,1.3,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,3,4,4.441474093317302,8.0,30.2,1.2809338454620642,12.7,48,1.8,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,3,4,4.526126978647638,142.4,601.4,2.451005098112319,11.6,87,4.5,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,3,4,4.526126978647638,142.4,601.4,2.451005098112319,19.8,39,5.4,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,3,4,4.526126978647638,142.4,601.4,2.451005098112319,19.8,39,5.4,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,3,4,4.497584975308154,147.3,614.5,2.302585092994046,14.4,66,5.4,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
102,2,4,4.562262684976814,108.3,647.1,2.8903717578961645,20.1,40,4.0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
103,2,4,4.537961436294641,121.1,674.4,2.2617630984737906,24.1,29,4.5,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,2,4,4.420044701861403,3.7,9.3,1.3609765531356006,5.3,78,3.1,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,4,5,4.464758032271346,19.5,57.3,1.33500106673234,12.7,52,6.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,4,5,4.526126978647638,30.7,74.3,2.1400661634962708,18.2,29,3.1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
107,4,5,4.513054897080286,99.6,631.2,1.9878743481543455,21.4,33,3.1,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,4,5,4.537961436294641,88.0,698.6,2.0918640616783932,20.3,45,3.1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,4,5,4.4953553199808844,91.8,709.9,2.0918640616783932,17.4,56,5.4,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,4,4,4.464758032271346,19.5,57.3,1.33500106673234,13.7,43,5.8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,3,4,4.529368472571809,33.3,77.5,2.302585092994046,18.8,18,4.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,3,4,4.507557357121091,90.0,704.4,1.7578579175523736,22.8,39,3.6,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,3,4,4.530446639792155,78.5,724.3,2.322387720290225,18.9,35,2.7,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,3,4,4.489759334476764,25.7,67.6,1.5686159179138452,15.8,27,7.6,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
115,3,5,4.489759334476764,25.7,67.6,1.5686159179138452,15.5,27,6.3,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
116,3,4,4.529368472571809,35.8,80.8,2.174751721484161,11.6,30,6.3,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117,3,4,4.529368472571809,35.8,80.8,2.174751721484161,15.2,27,4.9,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,3,4,4.511957804265912,39.7,86.6,1.9740810260220096,10.6,30,4.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,3,4,4.543294782270004,75.3,466.6,2.163323025660538,19.6,36,3.1,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
120,3,4,4.52720864451838,145.4,608.2,2.4595888418037104,10.3,74,2.2,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,3,4,4.52720864451838,145.4,608.2,2.4595888418037104,17.1,43,5.4,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,3,4,4.536891345234797,124.1,680.7,2.2512917986064953,22.5,42,5.4,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,3,4,4.447346100794524,73.4,671.9,1.4350845252893227,17.9,45,3.1,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
124,3,4,4.557029810660157,85.1,692.3,2.8273136219290276,19.8,50,5.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,3,4,4.539030383483547,46.5,691.8,2.2823823856765264,20.6,24,5.4,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,3,5,4.484131857611035,52.2,103.8,1.791759469228055,9.0,49,2.2,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,3,5,4.548599834499697,149.3,728.6,2.2082744135228043,17.2,43,3.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,3,5,4.526126978647638,37.9,673.8,1.824549292051046,15.9,46,3.6,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
129,2,5,4.539030383483547,46.5,691.8,2.2823823856765264,15.4,35,0.9,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,4,6,4.4796069630127455,23.9,64.7,1.62924053973028,14.0,39,3.1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132,4,6,4.5031374604229395,51.3,102.2,2.3608540011180215,10.6,46,4.9,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,4,6,4.550714000192032,80.9,685.2,2.9391619220655967,17.6,42,3.1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
134,3,5,4.489759334476764,25.7,67.6,1.5686159179138452,14.9,38,2.7,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
135,3,5,4.548599834499697,139.4,594.2,3.0587070727153796,17.6,52,5.8,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,3,6,4.536891345234797,124.1,680.7,2.2512917986064953,17.2,58,1.3,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,3,6,4.520701029361642,126.5,686.5,2.0794415416798357,15.6,66,3.1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,9,9,4.463606621666305,48.3,313.4,1.589235205116581,18.0,42,2.7,0,0.3074846997479606,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
139,1,4,4.5217885770490405,129.5,692.6,2.0794415416798357,21.7,38,2.2,0,0.35767444427181594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
140,2,5,4.520701029361642,126.5,686.5,2.0794415416798357,21.9,39,1.8,0,0.3852624007906449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,1,2,4.56954300834494,99.9,513.3,2.653241964607215,23.3,31,4.5,0,0.4382549309311553,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
142,8,6,4.511957804265912,108.0,529.8,2.6026896854443837,21.2,51,8.9,0,0.4762341789963716,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,1,2,4.51085950651685,51.3,296.3,2.272125885509337,16.6,53,5.4,0,0.5364933705145685,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144,2,5,4.56954300834494,99.9,513.3,2.653241964607215,23.8,32,5.4,0,0.5709795465857378,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
145,6,5,4.566429357671661,131.7,578.8,2.4336133554004498,27.4,22,4.0,0,0.6418538861723948,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
146,5,4,4.511957804265912,39.7,86.6,1.9740810260220096,13.2,40,5.4,0,0.6678293725756554,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
147,8,3,4.447346100794524,73.4,671.9,1.4350845252893227,24.2,28,3.6,0,0.6729444732424258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
148,2,2,4.562262684976814,108.3,647.1,2.8903717578961645,17.4,43,6.7,0,0.7275486072772778,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
149,8,6,4.550714000192032,80.9,685.2,2.9391619220655967,23.7,25,4.5,0,0.7514160886839212,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
150,6,5,4.537961436294641,56.4,433.3,2.0918640616783932,23.2,39,5.4,0,0.7839015438284094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,9,9,4.511957804265912,68.6,355.2,2.1041341542702074,24.8,29,2.2,0,0.8586616190375187,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
152,3,4,4.511957804265912,51.2,424.1,1.9740810260220096,24.6,43,1.8,0,0.8878912573524571,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
153,5,4,4.557029810660157,85.1,692.3,2.8273136219290276,20.1,47,4.9,0,0.9001613499442714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,1,5,4.547541073151455,145.4,721.4,2.2082744135228043,29.6,27,2.7,0,0.9001613499442714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,7,4,4.562262684976814,108.3,647.1,2.8903717578961645,16.4,47,1.3,0,0.9400072584914712,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156,2,4,4.547541073151455,145.4,721.4,2.2082744135228043,28.6,27,2.2,0,0.959350221334602,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,2,2,4.533674184283021,111.2,654.1,2.3608540011180215,18.4,45,3.6,0,0.9669838461896731,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
158,2,4,4.533674184283021,111.2,654.1,2.3608540011180215,20.5,35,4.0,0,0.9707789171582248,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
159,7,4,4.536891345234797,117.9,668.0,2.580216829592325,19.0,34,5.8,0,0.9895411936137477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,7,4,4.511957804265912,39.7,86.6,1.9740810260220096,16.1,29,3.1,0,1.0116009116784799,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161,6,4,4.566429357671661,131.7,578.8,2.4336133554004498,20.3,41,4.0,0,1.0647107369924282,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
162,6,3,4.517431271680085,50.1,100.4,2.174751721484161,15.2,31,8.5,0,1.0784095813505903,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163,8,6,4.537961436294641,121.1,674.4,2.2617630984737906,17.8,56,1.8,0,1.0818051703517284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,8,5,4.507557357121091,90.0,704.4,1.7578579175523736,17.8,67,2.2,0,1.1019400787607843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,6,5,4.45318382899021,18.2,55.0,1.3862943611198906,5.3,70,4.5,0,1.144222799920162,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
166,6,5,4.533674184283021,111.2,654.1,2.3608540011180215,16.6,47,0.9,0,1.1908875647772805,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
167,6,5,4.574710978503383,127.1,570.5,2.8622008809294686,23.4,33,4.5,0,1.2556160374777743,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
168,6,5,4.523960130562548,48.3,97.8,2.6026896854443837,14.6,26,9.4,0,1.2612978709452054,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
169,8,6,4.566429357671661,131.7,578.8,2.4336133554004498,20.7,45,2.2,0,1.2669476034873244,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
170,5,4,4.542230386214217,133.3,699.6,2.322387720290225,21.9,35,1.8,0,1.2725655957915476,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
